wall_time,index,name,util_gpu,memory_used,memory_total,power,temperature
1782120104.2348464,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,142.31,53
1782120104.2348464,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,127.38,57
1782120109.3591993,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.27,53
1782120109.3591993,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.65,58
1782120114.4750721,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,146.00,53
1782120114.4750721,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.61,57
1782120119.591161,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.73,53
1782120119.591161,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,135.77,56
1782120124.7191303,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.71,53
1782120124.7191303,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,136.78,56
1782120129.847988,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,145.34,54
1782120129.847988,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,137.34,57
1782120134.9672089,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.31,54
1782120134.9672089,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,136.49,56
1782120140.0720258,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.84,53
1782120140.0720258,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,137.82,58
1782120145.1756985,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.79,53
1782120145.1756985,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,136.98,57
1782120150.2692714,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,119.99,52
1782120150.2692714,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,103.93,55
1782120155.373219,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.39,53
1782120155.373219,1,NVIDIA GeForce RTX 4090 D,13,1550,24564,101.21,56
1782120160.494373,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.18,54
1782120160.494373,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.63,56
1782120165.6185055,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.24,53
1782120165.6185055,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.69,57
1782120170.7221553,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.77,53
1782120170.7221553,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.50,57
1782120175.8474336,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,141.38,53
1782120175.8474336,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.35,57
1782120180.9664934,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,142.19,54
1782120180.9664934,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.44,57
1782120186.0908124,0,NVIDIA GeForce RTX 4090 D,68,1550,24564,141.70,53
1782120186.0908124,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.54,57
1782120191.211655,0,NVIDIA GeForce RTX 4090 D,68,1550,24564,141.51,53
1782120191.211655,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.78,58
1782120196.3316076,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.88,53
1782120196.3316076,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.00,58
1782120201.4463012,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,142.43,53
1782120201.4463012,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.17,57
1782120206.5712676,0,NVIDIA GeForce RTX 4090 D,76,1550,24564,108.68,52
1782120206.5712676,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.27,58
1782120211.6866276,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,141.94,53
1782120211.6866276,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.94,58
1782120216.803454,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.21,53
1782120216.803454,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.49,57
1782120221.9184098,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,141.62,53
1782120221.9184098,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,139.64,57
1782120227.0353034,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.41,53
1782120227.0353034,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,139.06,58
1782120232.155791,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.49,54
1782120232.155791,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.25,57
1782120237.2792833,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.66,52
1782120237.2792833,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,139.97,58
1782120242.4034307,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.09,53
1782120242.4034307,1,NVIDIA GeForce RTX 4090 D,76,1550,24564,139.55,58
1782120247.5310888,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.02,53
1782120247.5310888,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.90,57
1782120252.6500857,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.07,53
1782120252.6500857,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.55,58
1782120257.7671387,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.09,53
1782120257.7671387,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.68,57
1782120262.8829336,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,105.48,51
1782120262.8829336,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,139.44,57
1782120268.0033784,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.20,53
1782120268.0033784,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.09,57
1782120273.1220825,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.92,52
1782120273.1220825,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.37,58
1782120278.239179,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.12,53
1782120278.239179,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.31,57
1782120283.3594964,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,140.96,53
1782120283.3594964,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.90,57
1782120288.4754717,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.84,54
1782120288.4754717,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.26,58
1782120293.5949159,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.35,53
1782120293.5949159,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.34,57
1782120298.7100263,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,141.32,53
1782120298.7100263,1,NVIDIA GeForce RTX 4090 D,14,1550,24564,101.69,55
1782120303.8321562,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,141.35,54
1782120303.8321562,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.95,57
1782120308.9553835,0,NVIDIA GeForce RTX 4090 D,12,1550,24564,104.60,52
1782120308.9553835,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.45,57
1782120314.0837197,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.63,53
1782120314.0837197,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.07,57
1782120319.198211,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,107.68,51
1782120319.198211,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.46,57
1782120324.3231468,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,143.21,54
1782120324.3231468,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.00,57
1782120329.447078,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,142.16,53
1782120329.447078,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.23,57
1782120334.5665078,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.05,53
