eval_seed,mode,episode_reward,episode_cost,episode_length,success,violation_rate,collision_rate,min_clearance,path_length,fallback_rate,found_but_not_executed_rate,latency_ms,train_seed,run_name,candidates,margin,checkpoint
800002,star_exec,-1.3243836852908135,9.0,11,1.0,0.8181818181818182,0.8181818181818182,-0.02081021264195443,0.3877143617719412,1.0,0.0,3.381661054762927,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800003,raw,-1.5503757925331598,10.0,12,1.0,0.8333333333333334,0.8333333333333334,-0.039123363494873054,0.38737741485238075,0.0,0.0,2.6041961585481963,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800003,star_exec,-1.7348668588697906,10.0,13,1.0,0.7692307692307693,0.7692307692307693,-0.02088735222816468,0.4379349872469902,0.8461538461538461,0.0,3.3623177844744463,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800004,raw,-1.3642517349123955,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.024399451613426215,0.3504489976912737,0.0,0.0,2.5974149731072513,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800004,star_exec,-1.5727665942907332,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.04673288360238076,0.4124187771230936,1.0,0.0,3.6477185785770416,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800005,raw,-1.3194225016236307,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.04219392657279969,0.36359224654734135,0.0,0.0,2.571630884300579,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800005,star_exec,-1.3394705843925476,9.0,12,1.0,0.75,0.75,-0.04294210642576218,0.4096732381731272,1.0,0.08333333333333333,3.3667354534069696,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800006,raw,-1.3537254977226265,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.04444441914558411,0.3698635082691908,0.0,0.0,2.8107240796089172,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800006,star_exec,-1.4890343180298804,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.040328832045197494,0.41322074085474014,1.0,0.0,3.3666985109448433,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800007,raw,-1.3886196038872003,10.0,12,1.0,0.8333333333333334,0.8333333333333334,-0.0398619693517685,0.3884282875806093,0.0,0.0,2.6264386251568794,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
